;Longitude,Latitude,Name,Address 1
35.0010780,31.7712830,"X-trail; "
35.0010150,31.7712310,"X-trail; "
35.0009450,31.7711770,"X-trail; "
35.0008740,31.7711210,"X-trail; "
35.0008070,31.7710670,"X-trail; "
35.0007410,31.7710130,"X-trail; "
35.0006700,31.7709520,"X-trail; "
35.0006060,31.7708920,"X-trail; "
35.0005500,31.7708390,"X-trail; "
35.0004840,31.7707900,"X-trail; "
35.0004120,31.7707410,"X-trail; "
35.0003520,31.7706930,"X-trail; "
35.0002930,31.7706410,"X-trail; "
35.0002300,31.7705900,"X-trail; "
35.0001810,31.7705420,"X-trail; "
35.0001210,31.7705050,"X-trail; "
35.0000640,31.7704590,"X-trail; "
35.0000120,31.7704130,"X-trail; "
34.9999540,31.7703650,"X-trail; "
34.9999050,31.7703160,"X-trail; "
34.9998600,31.7702680,"X-trail; "
34.9998080,31.7702300,"X-trail; "
34.9997630,31.7701770,"X-trail; "
34.9997130,31.7701230,"X-trail; "
34.9996590,31.7700820,"X-trail; "
34.9995980,31.7700390,"X-trail; "
34.9995410,31.7700000,"X-trail; "
34.9994890,31.7699550,"X-trail; "
34.9994430,31.7699110,"X-trail; "
34.9993930,31.7698590,"X-trail; "
34.9993550,31.7698110,"X-trail; "
34.9993000,31.7697790,"X-trail; "
34.9992490,31.7697290,"X-trail; "
34.9991980,31.7696650,"X-trail; "
34.9991510,31.7696130,"X-trail; "
34.9991040,31.7695540,"X-trail; "
34.9990460,31.7695120,"X-trail; "
34.9990000,31.7694630,"X-trail; "
34.9989580,31.7694030,"X-trail; "
34.9989130,31.7693380,"X-trail; "
34.9988780,31.7692920,"X-trail; "
34.9988270,31.7692230,"X-trail; "
34.9987870,31.7691490,"X-trail; "
34.9987540,31.7690770,"X-trail; "
34.9987000,31.7690130,"X-trail; "
34.9986500,31.7689300,"X-trail; "
34.9986000,31.7688410,"X-trail; "
34.9985440,31.7687670,"X-trail; "
34.9984950,31.7686870,"X-trail; "
34.9984490,31.7686010,"X-trail; "
34.9983980,31.7685180,"X-trail; "
34.9983560,31.7684380,"X-trail; "
34.9983130,31.7683600,"X-trail; "
34.9982610,31.7682610,"X-trail; "
34.9982080,31.7681850,"X-trail; "
34.9981600,31.7681060,"X-trail; "
34.9981110,31.7680190,"X-trail; "
34.9980530,31.7679350,"X-trail; "
34.9979970,31.7678420,"X-trail; "
34.9979410,31.7677570,"X-trail; "
34.9978880,31.7676700,"X-trail; "
34.9978300,31.7675920,"X-trail; "
34.9977700,31.7675020,"X-trail; "
34.9977110,31.7674150,"X-trail; "
34.9976470,31.7673290,"X-trail; "
34.9975830,31.7672400,"X-trail; "
34.9975630,31.7671270,"X-trail; "
34.9975060,31.7670280,"X-trail; "
34.9974470,31.7669250,"X-trail; "
34.9973950,31.7668310,"X-trail; "
34.9973310,31.7667330,"X-trail; "
34.9972700,31.7666370,"X-trail; "
34.9972080,31.7665450,"X-trail; "
34.9971500,31.7664440,"X-trail; "
34.9970910,31.7663590,"X-trail; "
34.9970320,31.7662680,"X-trail; "
34.9969760,31.7661800,"X-trail; "
34.9969220,31.7660880,"X-trail; "
34.9968680,31.7659970,"X-trail; "
34.9968170,31.7659060,"X-trail; "
34.9967630,31.7658250,"X-trail; "
34.9967170,31.7657310,"X-trail; "
34.9966820,31.7656520,"X-trail; "
34.9966340,31.7655700,"X-trail; "
34.9965970,31.7654830,"X-trail; "
34.9965450,31.7654090,"X-trail; "
34.9964970,31.7653310,"X-trail; "
34.9964470,31.7652550,"X-trail; "
34.9964020,31.7651710,"X-trail; "
34.9963740,31.7650750,"X-trail; "
34.9963290,31.7649970,"X-trail; "
34.9962960,31.7649200,"X-trail; "
34.9962450,31.7648480,"X-trail; "
34.9961910,31.7647880,"X-trail; "
34.9961470,31.7647100,"X-trail; "
34.9961020,31.7646300,"X-trail; "
34.9960590,31.7645530,"X-trail; "
34.9960250,31.7644500,"X-trail; "
34.9959680,31.7643720,"X-trail; "
34.9959220,31.7642770,"X-trail; "
34.9958620,31.7642150,"X-trail; "
34.9958160,31.7641460,"X-trail; "
34.9957620,31.7640610,"X-trail; "
34.9957070,31.7640040,"X-trail; "
34.9956570,31.7639380,"X-trail; "
34.9956040,31.7638630,"X-trail; "
34.9955460,31.7637890,"X-trail; "
34.9954930,31.7637100,"X-trail; "
34.9954500,31.7636300,"X-trail; "
34.9954050,31.7635640,"X-trail; "
34.9953500,31.7634820,"X-trail; "
34.9952910,31.7634110,"X-trail; "
34.9952270,31.7633370,"X-trail; "
34.9951620,31.7632710,"X-trail; "
34.9950880,31.7631980,"X-trail; "
34.9950210,31.7631240,"X-trail; "
34.9949490,31.7630600,"X-trail; "
34.9948770,31.7629980,"X-trail; "
34.9947980,31.7629380,"X-trail; "
34.9947220,31.7628780,"X-trail; "
34.9946500,31.7628160,"X-trail; "
34.9945740,31.7627490,"X-trail; "
34.9944880,31.7626770,"X-trail; "
34.9944000,31.7626290,"X-trail; "
34.9943140,31.7625710,"X-trail; "
34.9942250,31.7625020,"X-trail; "
34.9941550,31.7624310,"X-trail; "
34.9940690,31.7623800,"X-trail; "
34.9939900,31.7623230,"X-trail; "
34.9939090,31.7622700,"X-trail; "
34.9938250,31.7621960,"X-trail; "
34.9937490,31.7621490,"X-trail; "
34.9936740,31.7620880,"X-trail; "
34.9935930,31.7620330,"X-trail; "
34.9935080,31.7619670,"X-trail; "
34.9934330,31.7619210,"X-trail; "
34.9933760,31.7618600,"X-trail; "
34.9933000,31.7618120,"X-trail; "
34.9932230,31.7617640,"X-trail; "
34.9931460,31.7617160,"X-trail; "
34.9930670,31.7616560,"X-trail; "
34.9929780,31.7616100,"X-trail; "
34.9928990,31.7615570,"X-trail; "
34.9928100,31.7615100,"X-trail; "
34.9927260,31.7614650,"X-trail; "
34.9926410,31.7614280,"X-trail; "
34.9925520,31.7613930,"X-trail; "
34.9924810,31.7613460,"X-trail; "
34.9923890,31.7613140,"X-trail; "
34.9923010,31.7612770,"X-trail; "
34.9922130,31.7612410,"X-trail; "
34.9921450,31.7611960,"X-trail; "
34.9920620,31.7611600,"X-trail; "
34.9919850,31.7611130,"X-trail; "
34.9918990,31.7610600,"X-trail; "
34.9918180,31.7610120,"X-trail; "
34.9917370,31.7609650,"X-trail; "
34.9916630,31.7609160,"X-trail; "
34.9915860,31.7608480,"X-trail; "
34.9915070,31.7608000,"X-trail; "
34.9914300,31.7607410,"X-trail; "
34.9913510,31.7606840,"X-trail; "
34.9912690,31.7606350,"X-trail; "
34.9911940,31.7605780,"X-trail; "
34.9911180,31.7605160,"X-trail; "
34.9910610,31.7604600,"X-trail; "
34.9909930,31.7604100,"X-trail; "
34.9909240,31.7603610,"X-trail; "
34.9908680,31.7603050,"X-trail; "
34.9908080,31.7602460,"X-trail; "
34.9907520,31.7601890,"X-trail; "
34.9906980,31.7601340,"X-trail; "
34.9906630,31.7600640,"X-trail; "
34.9906160,31.7600110,"X-trail; "
34.9906010,31.7599500,"X-trail; "
34.9906030,31.7598820,"X-trail; "
34.9906310,31.7598190,"X-trail; "
34.9906730,31.7597580,"X-trail; "
34.9907270,31.7597060,"X-trail; "
34.9907850,31.7596540,"X-trail; "
34.9908560,31.7595990,"X-trail; "
34.9909170,31.7595650,"X-trail; "
34.9909920,31.7595300,"X-trail; "
34.9910530,31.7595050,"X-trail; "
34.9911300,31.7594750,"X-trail; "
34.9912000,31.7594550,"X-trail; "
34.9912590,31.7594340,"X-trail; "
34.9913230,31.7594120,"X-trail; "
34.9914040,31.7593870,"X-trail; "
34.9914770,31.7593770,"X-trail; "
34.9915450,31.7593540,"X-trail; "
34.9916140,31.7593360,"X-trail; "
34.9916830,31.7593100,"X-trail; "
34.9917600,31.7592800,"X-trail; "
34.9918310,31.7592510,"X-trail; "
34.9918930,31.7592330,"X-trail; "
34.9919620,31.7592160,"X-trail; "
34.9920370,31.7591750,"X-trail; "
34.9921080,31.7591550,"X-trail; "
34.9921800,31.7591380,"X-trail; "
34.9922510,31.7591230,"X-trail; "
34.9923210,31.7591100,"X-trail; "
34.9923900,31.7590920,"X-trail; "
34.9924630,31.7590780,"X-trail; "
34.9925300,31.7590620,"X-trail; "
34.9925950,31.7590320,"X-trail; "
34.9926650,31.7590140,"X-trail; "
34.9927340,31.7589930,"X-trail; "
34.9928070,31.7589760,"X-trail; "
34.9928800,31.7589620,"X-trail; "
34.9929550,31.7589340,"X-trail; "
34.9930290,31.7589170,"X-trail; "
34.9930960,31.7589010,"X-trail; "
34.9931650,31.7588760,"X-trail; "
34.9932300,31.7588490,"X-trail; "
34.9933050,31.7588310,"X-trail; "
34.9933780,31.7588090,"X-trail; "
34.9934440,31.7587800,"X-trail; "
34.9935210,31.7587640,"X-trail; "
34.9935910,31.7587490,"X-trail; "
34.9936620,31.7587230,"X-trail; "
34.9937290,31.7586960,"X-trail; "
34.9937900,31.7586620,"X-trail; "
34.9938540,31.7586360,"X-trail; "
34.9939190,31.7586090,"X-trail; "
34.9939930,31.7585820,"X-trail; "
34.9940580,31.7585480,"X-trail; "
34.9941150,31.7585250,"X-trail; "
34.9941710,31.7584920,"X-trail; "
34.9942350,31.7584560,"X-trail; "
34.9942930,31.7584180,"X-trail; "
34.9943470,31.7583610,"X-trail; "
34.9944050,31.7583350,"X-trail; "
34.9944580,31.7583000,"X-trail; "
34.9945030,31.7582590,"X-trail; "
34.9945540,31.7582210,"X-trail; "
34.9946010,31.7581830,"X-trail; "
34.9946450,31.7581540,"X-trail; "
34.9946860,31.7581150,"X-trail; "
34.9947210,31.7580790,"X-trail; "
34.9947740,31.7580340,"X-trail; "
34.9948150,31.7579910,"X-trail; "
34.9948650,31.7579520,"X-trail; "
34.9949110,31.7579060,"X-trail; "
34.9949450,31.7578660,"X-trail; "
34.9949780,31.7578200,"X-trail; "
34.9950080,31.7577730,"X-trail; "
34.9950430,31.7577360,"X-trail; "
34.9950990,31.7576900,"X-trail; "
34.9951380,31.7576450,"X-trail; "
34.9951790,31.7576020,"X-trail; "
34.9952110,31.7575620,"X-trail; "
34.9952490,31.7575210,"X-trail; "
34.9952910,31.7574730,"X-trail; "
34.9953290,31.7574190,"X-trail; "
34.9953670,31.7573780,"X-trail; "
34.9953970,31.7573390,"X-trail; "
34.9954320,31.7572960,"X-trail; "
34.9954630,31.7572630,"X-trail; "
34.9955120,31.7572290,"X-trail; "
34.9955460,31.7571890,"X-trail; "
34.9955800,31.7571500,"X-trail; "
34.9956090,31.7571150,"X-trail; "
34.9956390,31.7570770,"X-trail; "
34.9956680,31.7570390,"X-trail; "
34.9956970,31.7570000,"X-trail; "
34.9957320,31.7569740,"X-trail; "
34.9957670,31.7569430,"X-trail; "
34.9957960,31.7569040,"X-trail; "
34.9958240,31.7568730,"X-trail; "
34.9958520,31.7568390,"X-trail; "
34.9958830,31.7568070,"X-trail; "
34.9959090,31.7567800,"X-trail; "
34.9959330,31.7567560,"X-trail; "
34.9959510,31.7567290,"X-trail; "
34.9959850,31.7566900,"X-trail; "
34.9960220,31.7566650,"X-trail; "
34.9960550,31.7566370,"X-trail; "
34.9960880,31.7566090,"X-trail; "
34.9961240,31.7565840,"X-trail; "
34.9961600,31.7565560,"X-trail; "
34.9961980,31.7565270,"X-trail; "
34.9962330,31.7564970,"X-trail; "
34.9962700,31.7564670,"X-trail; "
34.9963080,31.7564410,"X-trail; "
34.9963420,31.7564170,"X-trail; "
34.9963820,31.7563940,"X-trail; "
34.9964200,31.7563720,"X-trail; "
34.9964560,31.7563520,"X-trail; "
34.9964920,31.7563300,"X-trail; "
34.9965280,31.7563060,"X-trail; "
34.9965630,31.7562830,"X-trail; "
34.9966000,31.7562610,"X-trail; "
34.9966380,31.7562400,"X-trail; "
34.9966750,31.7562180,"X-trail; "
34.9967130,31.7561960,"X-trail; "
34.9967510,31.7561750,"X-trail; "
34.9967890,31.7561570,"X-trail; "
34.9968260,31.7561350,"X-trail; "
34.9968620,31.7561110,"X-trail; "
34.9968980,31.7560890,"X-trail; "
34.9969330,31.7560690,"X-trail; "
34.9969730,31.7560540,"X-trail; "
34.9970140,31.7560390,"X-trail; "
34.9970530,31.7560250,"X-trail; "
34.9970950,31.7560110,"X-trail; "
34.9971340,31.7559960,"X-trail; "
34.9971720,31.7559800,"X-trail; "
34.9972100,31.7559660,"X-trail; "
34.9972510,31.7559530,"X-trail; "
34.9972920,31.7559410,"X-trail; "
34.9973320,31.7559290,"X-trail; "
34.9973730,31.7559160,"X-trail; "
34.9974130,31.7559050,"X-trail; "
34.9974540,31.7558920,"X-trail; "
34.9974950,31.7558800,"X-trail; "
34.9975380,31.7558680,"X-trail; "
34.9975810,31.7558570,"X-trail; "
34.9976230,31.7558450,"X-trail; "
34.9976620,31.7558300,"X-trail; "
34.9977020,31.7558130,"X-trail; "
34.9977420,31.7557970,"X-trail; "
34.9977820,31.7557830,"X-trail; "
34.9978220,31.7557670,"X-trail; "
34.9978620,31.7557520,"X-trail; "
34.9979010,31.7557370,"X-trail; "
34.9979400,31.7557210,"X-trail; "
34.9979790,31.7557060,"X-trail; "
34.9980180,31.7556920,"X-trail; "
34.9980580,31.7556790,"X-trail; "
34.9980980,31.7556670,"X-trail; "
34.9981390,31.7556540,"X-trail; "
34.9981790,31.7556410,"X-trail; "
34.9982190,31.7556260,"X-trail; "
34.9982590,31.7556120,"X-trail; "
34.9983000,31.7556010,"X-trail; "
34.9983430,31.7555920,"X-trail; "
34.9983870,31.7555830,"X-trail; "
34.9984310,31.7555720,"X-trail; "
34.9984720,31.7555590,"X-trail; "
34.9985150,31.7555440,"X-trail; "
34.9985590,31.7555290,"X-trail; "
34.9986020,31.7555130,"X-trail; "
34.9986440,31.7554980,"X-trail; "
34.9986840,31.7554820,"X-trail; "
34.9987240,31.7554690,"X-trail; "
34.9987640,31.7554530,"X-trail; "
34.9988060,31.7554360,"X-trail; "
34.9988470,31.7554200,"X-trail; "
34.9988870,31.7554020,"X-trail; "
34.9989260,31.7553850,"X-trail; "
34.9989650,31.7553650,"X-trail; "
34.9990020,31.7553440,"X-trail; "
34.9990390,31.7553240,"X-trail; "
34.9990750,31.7553020,"X-trail; "
34.9991110,31.7552790,"X-trail; "
34.9991460,31.7552550,"X-trail; "
34.9991830,31.7552300,"X-trail; "
34.9992200,31.7552070,"X-trail; "
34.9992580,31.7551850,"X-trail; "
34.9992950,31.7551630,"X-trail; "
34.9993300,31.7551410,"X-trail; "
34.9993660,31.7551170,"X-trail; "
34.9994010,31.7550930,"X-trail; "
34.9994360,31.7550690,"X-trail; "
34.9994700,31.7550450,"X-trail; "
34.9995030,31.7550210,"X-trail; "
34.9995360,31.7549960,"X-trail; "
34.9995670,31.7549690,"X-trail; "
34.9995980,31.7549420,"X-trail; "
34.9996280,31.7549140,"X-trail; "
34.9996580,31.7548850,"X-trail; "
34.9996860,31.7548550,"X-trail; "
34.9997140,31.7548240,"X-trail; "
34.9997430,31.7547940,"X-trail; "
34.9997730,31.7547640,"X-trail; "
34.9998020,31.7547350,"X-trail; "
34.9998290,31.7547050,"X-trail; "
34.9998550,31.7546740,"X-trail; "
34.9998810,31.7546410,"X-trail; "
34.9999050,31.7546090,"X-trail; "
34.9999290,31.7545750,"X-trail; "
34.9999520,31.7545400,"X-trail; "
34.9999750,31.7545040,"X-trail; "
34.9999980,31.7544680,"X-trail; "
35.0000220,31.7544330,"X-trail; "
35.0000460,31.7543970,"X-trail; "
35.0000720,31.7543610,"X-trail; "
35.0000970,31.7543250,"X-trail; "
35.0001200,31.7542880,"X-trail; "
35.0001570,31.7542360,"X-trail; "
35.0001730,31.7541990,"X-trail; "
35.0001850,31.7541580,"X-trail; "
35.0002040,31.7541160,"X-trail; "
35.0002260,31.7540730,"X-trail; "
35.0002400,31.7540240,"X-trail; "
35.0002570,31.7539840,"X-trail; "
35.0002730,31.7539410,"X-trail; "
35.0002890,31.7538960,"X-trail; "
35.0003030,31.7538540,"X-trail; "
35.0003160,31.7538060,"X-trail; "
35.0003340,31.7537550,"X-trail; "
35.0003420,31.7537020,"X-trail; "
35.0003480,31.7536520,"X-trail; "
35.0003600,31.7535940,"X-trail; "
35.0003740,31.7535460,"X-trail; "
35.0003840,31.7534920,"X-trail; "
35.0003930,31.7534370,"X-trail; "
35.0003970,31.7533770,"X-trail; "
35.0004080,31.7533190,"X-trail; "
35.0004170,31.7532640,"X-trail; "
35.0004260,31.7532060,"X-trail; "
35.0004320,31.7531450,"X-trail; "
35.0004410,31.7530830,"X-trail; "
35.0004560,31.7530240,"X-trail; "
35.0004770,31.7529590,"X-trail; "
35.0004830,31.7529010,"X-trail; "
35.0004870,31.7528400,"X-trail; "
35.0004940,31.7527780,"X-trail; "
35.0005070,31.7527180,"X-trail; "
35.0005160,31.7526570,"X-trail; "
35.0005280,31.7525980,"X-trail; "
35.0005390,31.7525340,"X-trail; "
35.0005560,31.7524700,"X-trail; "
35.0005680,31.7524020,"X-trail; "
35.0005790,31.7523390,"X-trail; "
35.0005860,31.7522760,"X-trail; "
35.0005740,31.7522140,"X-trail; "
35.0005150,31.7520780,"X-trail; "
35.0005240,31.7520470,"X-trail; "
35.0005330,31.7520000,"X-trail; "
35.0005650,31.7520290,"X-trail; "
35.0006130,31.7518680,"X-trail; "
35.0005640,31.7518810,"X-trail; "
35.0007760,31.7516020,"X-trail; "
35.0007930,31.7515400,"X-trail; "
35.0008160,31.7514760,"X-trail; "
35.0008350,31.7514170,"X-trail; "
35.0008560,31.7513450,"X-trail; "
35.0008780,31.7512650,"X-trail; "
35.0009020,31.7512060,"X-trail; "
35.0009310,31.7511360,"X-trail; "
35.0009440,31.7510710,"X-trail; "
35.0009860,31.7510110,"X-trail; "
35.0010150,31.7509470,"X-trail; "
35.0010610,31.7508880,"X-trail; "
35.0010920,31.7508240,"X-trail; "
35.0011240,31.7507720,"X-trail; "
35.0011610,31.7507060,"X-trail; "
35.0011890,31.7506570,"X-trail; "
35.0012360,31.7505850,"X-trail; "
35.0012780,31.7505270,"X-trail; "
35.0013270,31.7504780,"X-trail; "
35.0013770,31.7504170,"X-trail; "
35.0014280,31.7503610,"X-trail; "
35.0014780,31.7503110,"X-trail; "
35.0015360,31.7502580,"X-trail; "
35.0015840,31.7502050,"X-trail; "
35.0016260,31.7501450,"X-trail; "
35.0016710,31.7500870,"X-trail; "
35.0017200,31.7500350,"X-trail; "
35.0017770,31.7499770,"X-trail; "
35.0018250,31.7499230,"X-trail; "
35.0018640,31.7498640,"X-trail; "
35.0019180,31.7498160,"X-trail; "
35.0019710,31.7497670,"X-trail; "
35.0020170,31.7497120,"X-trail; "
35.0020730,31.7496620,"X-trail; "
35.0021360,31.7496140,"X-trail; "
35.0021720,31.7495760,"X-trail; "
35.0022060,31.7495280,"X-trail; "
35.0022430,31.7494800,"X-trail; "
35.0022780,31.7494360,"X-trail; "
35.0023250,31.7493940,"X-trail; "
35.0023860,31.7493680,"X-trail; "
35.0024590,31.7493720,"X-trail; "
35.0025150,31.7493940,"X-trail; "
35.0025460,31.7494240,"X-trail; "
35.0025740,31.7494680,"X-trail; "
35.0026150,31.7495040,"X-trail; "
35.0026540,31.7495420,"X-trail; "
35.0026890,31.7495780,"X-trail; "
35.0027360,31.7496110,"X-trail; "
35.0027770,31.7496460,"X-trail; "
35.0028120,31.7496910,"X-trail; "
35.0028410,31.7497360,"X-trail; "
35.0028630,31.7497840,"X-trail; "
35.0028800,31.7498350,"X-trail; "
35.0028920,31.7498900,"X-trail; "
35.0029060,31.7499460,"X-trail; "
35.0029080,31.7500070,"X-trail; "
35.0029070,31.7500630,"X-trail; "
35.0029090,31.7501150,"X-trail; "
35.0029060,31.7501590,"X-trail; "
35.0028920,31.7502250,"X-trail; "
35.0028750,31.7502740,"X-trail; "
35.0028550,31.7503200,"X-trail; "
35.0028360,31.7503710,"X-trail; "
35.0028260,31.7504140,"X-trail; "
35.0028140,31.7504610,"X-trail; "
35.0027960,31.7505120,"X-trail; "
35.0027820,31.7505590,"X-trail; "
35.0027720,31.7506090,"X-trail; "
35.0027530,31.7506510,"X-trail; "
35.0027330,31.7506980,"X-trail; "
35.0027190,31.7507490,"X-trail; "
35.0027060,31.7507940,"X-trail; "
35.0026920,31.7508440,"X-trail; "
35.0026840,31.7508910,"X-trail; "
35.0026680,31.7509250,"X-trail; "
35.0026530,31.7509720,"X-trail; "
35.0026430,31.7510120,"X-trail; "
35.0026320,31.7510530,"X-trail; "
35.0026130,31.7510850,"X-trail; "
35.0026020,31.7511220,"X-trail; "
35.0025920,31.7511670,"X-trail; "
35.0025950,31.7511970,"X-trail; "
35.0025900,31.7512330,"X-trail; "
35.0025970,31.7512780,"X-trail; "
35.0026050,31.7513090,"X-trail; "
35.0026090,31.7513460,"X-trail; "
35.0026150,31.7513850,"X-trail; "
35.0026230,31.7514240,"X-trail; "
35.0026330,31.7514680,"X-trail; "
35.0026430,31.7515110,"X-trail; "
35.0026540,31.7515520,"X-trail; "
35.0026810,31.7515850,"X-trail; "
35.0027090,31.7516120,"X-trail; "
35.0027380,31.7516350,"X-trail; "
35.0027680,31.7516560,"X-trail; "
35.0027970,31.7516830,"X-trail; "
35.0028220,31.7517120,"X-trail; "
35.0028440,31.7517490,"X-trail; "
35.0028700,31.7517820,"X-trail; "
35.0028990,31.7518130,"X-trail; "
35.0029310,31.7518430,"X-trail; "
35.0029620,31.7518730,"X-trail; "
35.0029930,31.7519080,"X-trail; "
35.0030230,31.7519430,"X-trail; "
35.0030560,31.7519780,"X-trail; "
35.0031070,31.7520260,"X-trail; "
35.0031350,31.7520630,"X-trail; "
35.0031720,31.7521040,"X-trail; "
35.0032020,31.7521490,"X-trail; "
35.0032370,31.7521740,"X-trail; "
35.0032690,31.7522130,"X-trail; "
35.0033070,31.7522550,"X-trail; "
35.0033400,31.7523080,"X-trail; "
35.0033710,31.7523670,"X-trail; "
35.0034130,31.7523870,"X-trail; "
35.0034470,31.7524150,"X-trail; "
35.0034830,31.7524440,"X-trail; "
35.0035220,31.7524730,"X-trail; "
35.0035470,31.7525140,"X-trail; "
35.0035690,31.7525570,"X-trail; "
35.0035930,31.7526080,"X-trail; "
35.0036170,31.7526470,"X-trail; "
35.0036380,31.7526860,"X-trail; "
35.0036630,31.7527300,"X-trail; "
35.0036850,31.7527640,"X-trail; "
35.0037100,31.7527990,"X-trail; "
35.0037270,31.7528350,"X-trail; "
35.0037540,31.7528730,"X-trail; "
35.0037830,31.7528930,"X-trail; "
35.0038120,31.7529330,"X-trail; "
35.0038430,31.7529540,"X-trail; "
35.0038780,31.7529810,"X-trail; "
35.0039060,31.7530170,"X-trail; "
35.0039300,31.7530370,"X-trail; "
35.0039570,31.7530610,"X-trail; "
35.0039770,31.7530900,"X-trail; "
35.0039940,31.7531210,"X-trail; "
35.0040160,31.7531460,"X-trail; "
35.0040410,31.7531670,"X-trail; "
35.0040650,31.7531880,"X-trail; "
35.0040880,31.7532110,"X-trail; "
35.0041100,31.7532320,"X-trail; "
35.0041560,31.7532660,"X-trail; "
35.0042040,31.7532950,"X-trail; "
35.0042560,31.7533140,"X-trail; "
35.0043000,31.7533410,"X-trail; "
35.0043320,31.7533750,"X-trail; "
35.0043650,31.7534080,"X-trail; "
35.0044090,31.7534320,"X-trail; "
35.0044580,31.7534460,"X-trail; "
35.0045030,31.7534630,"X-trail; "
35.0045420,31.7534880,"X-trail; "
35.0045800,31.7535160,"X-trail; "
35.0046050,31.7535570,"X-trail; "
35.0046380,31.7535900,"X-trail; "
35.0046850,31.7536130,"X-trail; "
35.0047340,31.7536270,"X-trail; "
35.0047840,31.7536350,"X-trail; "
35.0048310,31.7536510,"X-trail; "
35.0048780,31.7536660,"X-trail; "
35.0049290,31.7536700,"X-trail; "
35.0049730,31.7536820,"X-trail; "
35.0050120,31.7536990,"X-trail; "
35.0050570,31.7537140,"X-trail; "
35.0051070,31.7537240,"X-trail; "
35.0051600,31.7537350,"X-trail; "
35.0052100,31.7537510,"X-trail; "
35.0052610,31.7537710,"X-trail; "
