Order,Latitude,Longitude,Elevation,Date Created,Distance from Start,Distance to Next,Bearing
44,31.7729220,035.0028800,803.806,13/6/2015 08:24:46,0.237,0.006,217.92
45,31.7728540,035.0028180,803.806,13/6/2015 08:24:47,0.242,0.006,218.33
46,31.7727870,035.0027560,803.806,13/6/2015 08:24:48,0.248,0.006,218.29
47,31.7727210,035.0026950,801.969,13/6/2015 08:24:49,0.254,0.006,218.29
48,31.7726550,035.0026340,800.525,13/6/2015 08:24:50,0.260,0.006,217.79
49,31.7725900,035.0025750,800.525,13/6/2015 08:24:51,0.266,0.006,219.58
50,31.7725280,035.0025150,800.525,13/6/2015 08:24:52,0.271,0.005,220.04
51,31.7724670,035.0024550,800.525,13/6/2015 08:24:53,0.277,0.005,220.98
52,31.7724080,035.0023950,800.525,13/6/2015 08:24:54,0.282,0.005,223.86
53,31.7723520,035.0023320,800.525,13/6/2015 08:24:55,0.287,0.005,225.89
54,31.7722990,035.0022680,800.525,13/6/2015 08:24:56,0.293,0.005,226.77
55,31.7722460,035.0022020,800.525,13/6/2015 08:24:57,0.298,0.005,227.43
56,31.7721950,035.0021370,800.525,13/6/2015 08:24:58,0.303,0.005,228.43
57,31.7721450,035.0020710,798.802,13/6/2015 08:24:59,0.308,0.005,228.43
58,31.7720950,035.0020050,797.244,13/6/2015 08:25:00,0.314,0.005,228.43
59,31.7720450,035.0019390,797.244,13/6/2015 08:25:01,0.319,0.005,228.43
60,31.7719950,035.0018730,797.244,13/6/2015 08:25:02,0.324,0.005,228.86
61,31.7719450,035.0018060,797.244,13/6/2015 08:25:03,0.329,0.005,228.17
62,31.7718930,035.0017380,797.244,13/6/2015 08:25:04,0.335,0.006,227.39
63,31.7718380,035.0016680,797.244,13/6/2015 08:25:05,0.340,0.006,226.37
64,31.7717810,035.0015980,797.244,13/6/2015 08:25:06,0.346,0.006,225.39
65,31.7717220,035.0015280,797.244,13/6/2015 08:25:07,0.352,0.006,225.31
66,31.7716620,035.0014570,797.244,13/6/2015 08:25:08,0.358,0.006,224.90
67,31.7716020,035.0013870,795.407,13/6/2015 08:25:09,0.363,0.006,225.39
68,31.7715430,035.0013170,793.963,13/6/2015 08:25:10,0.369,0.006,224.49
69,31.7714830,035.0012480,793.963,13/6/2015 08:25:11,0.375,0.006,224.97
70,31.7714240,035.0011790,793.963,13/6/2015 08:25:12,0.381,0.006,224.56
71,31.7713650,035.0011110,793.963,13/6/2015 08:25:13,0.386,0.006,226.88
72,31.7713090,035.0010410,793.963,13/6/2015 08:25:14,0.392,0.006,229.25
73,31.7712560,035.0009690,793.963,13/6/2015 08:25:15,0.398,0.006,227.51
74,31.7712020,035.0009000,793.963,13/6/2015 08:25:16,0.403,0.006,225.63
75,31.7711460,035.0008330,793.963,13/6/2015 08:25:17,0.409,0.006,225.63
76,31.7710900,035.0007660,793.963,13/6/2015 08:25:18,0.414,0.006,225.63
77,31.7710340,035.0006990,792.093,13/6/2015 08:25:19,0.420,0.005,224.25
78,31.7709770,035.0006340,790.682,13/6/2015 08:25:20,0.425,0.005,222.86
79,31.7709190,035.0005710,790.682,13/6/2015 08:25:21,0.431,0.005,224.76
80,31.7708630,035.0005060,790.682,13/6/2015 08:25:22,0.436,0.005,225.36
81,31.7708090,035.0004420,790.682,13/6/2015 08:25:23,0.441,0.005,224.45
82,31.7707550,035.0003800,790.682,13/6/2015 08:25:24,0.447,0.005,225.06
83,31.7707030,035.0003190,790.682,13/6/2015 08:25:25,0.452,0.005,225.23
84,31.7706530,035.0002600,790.682,13/6/2015 08:25:26,0.457,0.005,225.81
85,31.7706040,035.0002010,790.682,13/6/2015 08:25:27,0.461,0.005,225.32
86,31.7705550,035.0001430,790.682,13/6/2015 08:25:28,0.466,0.005,224.91
87,31.7705070,035.0000870,790.682,13/6/2015 08:25:29,0.471,0.005,225.41
88,31.7704590,035.0000300,790.682,13/6/2015 08:25:30,0.476,0.005,225.51
89,31.7704120,034.9999740,790.682,13/6/2015 08:25:31,0.480,0.005,224.47
90,31.7703650,034.9999200,790.682,13/6/2015 08:25:32,0.485,0.004,225.18
91,31.7703200,034.9998670,790.682,13/6/2015 08:25:33,0.489,0.004,225.27
92,31.7702760,034.9998150,790.682,13/6/2015 08:25:34,0.493,0.004,225.27
93,31.7702320,034.9997630,790.682,13/6/2015 08:25:35,0.498,0.004,225.38
94,31.7701890,034.9997120,790.682,13/6/2015 08:25:36,0.502,0.004,225.27
95,31.7701450,034.9996600,790.682,13/6/2015 08:25:37,0.506,0.004,224.72
96,31.7701010,034.9996090,790.682,13/6/2015 08:25:38,0.511,0.004,224.72
97,31.7700570,034.9995580,790.682,13/6/2015 08:25:39,0.515,0.004,225.38
98,31.7700140,034.9995070,790.682,13/6/2015 08:25:40,0.519,0.004,224.15
99,31.7699700,034.9994570,790.682,13/6/2015 08:25:41,0.523,0.004,224.81
100,31.7699270,034.9994070,790.682,13/6/2015 08:25:42,0.527,0.004,222.93
101,31.7698820,034.9993580,790.682,13/6/2015 08:25:43,0.532,0.004,222.93
102,31.7698370,034.9993090,790.682,13/6/2015 08:25:44,0.536,0.004,221.67
103,31.7697890,034.9992590,790.682,13/6/2015 08:25:45,0.540,0.004,221.08
104,31.7697400,034.9992090,790.682,13/6/2015 08:25:46,0.545,0.004,219.36
105,31.7696900,034.9991610,790.682,13/6/2015 08:25:47,0.549,0.005,218.30
106,31.7696370,034.9991120,790.682,13/6/2015 08:25:48,0.554,0.005,215.64
107,31.7695810,034.9990650,790.682,13/6/2015 08:25:49,0.559,0.005,215.16
108,31.7695240,034.9990180,790.682,13/6/2015 08:25:50,0.563,0.005,213.67
109,31.7694650,034.9989720,790.682,13/6/2015 08:25:51,0.568,0.005,211.23
110,31.7694030,034.9989280,790.682,13/6/2015 08:25:52,0.573,0.005,208.90
111,31.7693380,034.9988860,790.682,13/6/2015 08:25:53,0.578,0.005,209.66
112,31.7692720,034.9988420,790.682,13/6/2015 08:25:54,0.584,0.005,208.93
113,31.7692040,034.9987980,790.682,13/6/2015 08:25:55,0.589,0.005,208.93
114,31.7691360,034.9987540,790.682,13/6/2015 08:25:56,0.594,0.006,207.90
115,31.7690650,034.9987100,790.682,13/6/2015 08:25:57,0.600,0.006,208.10
116,31.7689930,034.9986650,790.682,13/6/2015 08:25:58,0.606,0.006,207.77
117,31.7689200,034.9986200,785.171,13/6/2015 08:25:59,0.611,0.006,206.83
118,31.7688440,034.9985750,780.840,13/6/2015 08:26:00,0.617,0.006,207.54
119,31.7687670,034.9985280,780.840,13/6/2015 08:26:01,0.623,0.006,207.62
120,31.7686870,034.9984790,780.840,13/6/2015 08:26:02,0.629,0.006,207.81
121,31.7686060,034.9984290,780.840,13/6/2015 08:26:03,0.636,0.006,206.76
122,31.7685230,034.9983800,779.003,13/6/2015 08:26:04,0.642,0.006,206.49
123,31.7684390,034.9983310,777.559,13/6/2015 08:26:05,0.648,0.006,206.95
124,31.7683550,034.9982810,777.559,13/6/2015 08:26:06,0.655,0.007,205.96
125,31.7682690,034.9982320,777.559,13/6/2015 08:26:07,0.662,0.007,206.15
126,31.7681820,034.9981820,777.559,13/6/2015 08:26:08,0.668,0.007,206.34
127,31.7680940,034.9981310,773.921,13/6/2015 08:26:09,0.675,0.007,207.40
128,31.7680050,034.9980770,770.997,13/6/2015 08:26:10,0.682,0.007,207.57
129,31.7679150,034.9980220,770.997,13/6/2015 08:26:11,0.689,0.007,207.57
130,31.7678250,034.9979670,770.997,13/6/2015 08:26:12,0.696,0.007,207.31
131,31.7677340,034.9979120,770.997,13/6/2015 08:26:13,0.703,0.007,207.06
132,31.7676420,034.9978570,769.160,13/6/2015 08:26:14,0.710,0.007,207.64
133,31.7675490,034.9978000,767.717,13/6/2015 08:26:15,0.717,0.007,208.05
134,31.7674560,034.9977420,767.717,13/6/2015 08:26:16,0.725,0.007,209.53
135,31.7673640,034.9976810,767.717,13/6/2015 08:26:17,0.732,0.007,208.60
136,31.7672700,034.9976210,767.717,13/6/2015 08:26:18,0.739,0.007,206.90
137,31.7671740,034.9975640,762.205,13/6/2015 08:26:19,0.747,0.007,206.66
138,31.7670770,034.9975070,757.874,13/6/2015 08:26:20,0.754,0.007,206.90
139,31.7669810,034.9974500,757.874,13/6/2015 08:26:21,0.762,0.007,207.55
140,31.7668860,034.9973920,757.874,13/6/2015 08:26:22,0.769,0.007,207.70
141,31.7667900,034.9973330,757.874,13/6/2015 08:26:23,0.776,0.007,208.20
142,31.7666960,034.9972740,756.087,13/6/2015 08:26:24,0.784,0.007,207.80
143,31.7666020,034.9972160,754.593,13/6/2015 08:26:25,0.791,0.007,208.20
144,31.7665080,034.9971570,754.593,13/6/2015 08:26:26,0.798,0.007,207.22
145,31.7664150,034.9971010,754.593,13/6/2015 08:26:27,0.806,0.007,207.73
146,31.7663240,034.9970450,754.593,13/6/2015 08:26:28,0.813,0.007,207.83
147,31.7662350,034.9969900,752.756,13/6/2015 08:26:29,0.820,0.007,207.23
148,31.7661470,034.9969370,751.312,13/6/2015 08:26:30,0.826,0.007,207.77
149,31.7660610,034.9968840,751.312,13/6/2015 08:26:31,0.833,0.007,207.32
150,31.7659750,034.9968320,751.312,13/6/2015 08:26:32,0.840,0.006,206.96
151,31.7658910,034.9967820,751.312,13/6/2015 08:26:33,0.846,0.006,206.49
152,31.7658070,034.9967330,749.475,13/6/2015 08:26:34,0.853,0.006,205.55
153,31.7657230,034.9966860,748.031,13/6/2015 08:26:35,0.859,0.006,205.61
154,31.7656410,034.9966400,748.031,13/6/2015 08:26:36,0.865,0.006,204.63
155,31.7655590,034.9965960,748.031,13/6/2015 08:26:37,0.872,0.006,204.90
156,31.7654780,034.9965520,748.031,13/6/2015 08:26:38,0.878,0.006,205.95
157,31.7653990,034.9965070,746.194,13/6/2015 08:26:39,0.884,0.006,205.45
158,31.7653200,034.9964630,744.751,13/6/2015 08:26:40,0.890,0.006,205.73
159,31.7652420,034.9964190,744.751,13/6/2015 08:26:41,0.896,0.006,206.24
160,31.7651640,034.9963740,744.751,13/6/2015 08:26:42,0.902,0.006,205.45
161,31.7650850,034.9963300,744.751,13/6/2015 08:26:43,0.908,0.006,205.22
162,31.7650070,034.9962870,744.751,13/6/2015 08:26:44,0.914,0.006,206.53
163,31.7649300,034.9962420,744.751,13/6/2015 08:26:45,0.920,0.006,206.74
164,31.7648520,034.9961960,744.751,13/6/2015 08:26:46,0.926,0.006,206.74
165,31.7647740,034.9961500,744.751,13/6/2015 08:26:47,0.932,0.006,206.74
166,31.7646960,034.9961040,744.751,13/6/2015 08:26:48,0.938,0.006,206.45
167,31.7646170,034.9960580,741.076,13/6/2015 08:26:49,0.944,0.006,205.67
168,31.7645370,034.9960130,738.189,13/6/2015 08:26:50,0.950,0.006,205.67
169,31.7644570,034.9959680,738.189,13/6/2015 08:26:51,0.956,0.006,207.24
170,31.7643790,034.9959210,738.189,13/6/2015 08:26:52,0.962,0.006,207.24
171,31.7643010,034.9958740,738.189,13/6/2015 08:26:53,0.968,0.006,207.54
172,31.7642240,034.9958270,738.189,13/6/2015 08:26:54,0.974,0.006,208.04
173,31.7641470,034.9957790,738.189,13/6/2015 08:26:55,0.980,0.006,209.34
174,31.7640710,034.9957290,738.189,13/6/2015 08:26:56,0.986,0.006,209.66
175,31.7639960,034.9956790,738.189,13/6/2015 08:26:57,0.992,0.006,210.49
176,31.7639220,034.9956280,738.189,13/6/2015 08:26:58,0.998,0.006,210.64
177,31.7638470,034.9955760,736.352,13/6/2015 08:26:59,1.004,0.006,210.98
178,31.7637730,034.9955240,734.908,13/6/2015 08:27:00,1.010,0.006,210.64
179,31.7636980,034.9954720,734.908,13/6/2015 08:27:01,1.016,0.006,211.60
180,31.7636230,034.9954180,734.908,13/6/2015 08:27:02,1.022,0.006,211.60
181,31.7635480,034.9953640,734.908,13/6/2015 08:27:03,1.028,0.006,213.00
182,31.7634730,034.9953070,734.908,13/6/2015 08:27:04,1.034,0.006,214.26
183,31.7633990,034.9952480,734.908,13/6/2015 08:27:05,1.040,0.006,216.40
184,31.7633260,034.9951850,734.908,13/6/2015 08:27:06,1.047,0.006,218.03
185,31.7632550,034.9951200,734.908,13/6/2015 08:27:07,1.053,0.006,218.88
186,31.7631840,034.9950530,734.908,13/6/2015 08:27:08,1.059,0.006,220.92
187,31.7631150,034.9949830,731.234,13/6/2015 08:27:09,1.066,0.006,221.33
188,31.7630470,034.9949130,728.346,13/6/2015 08:27:10,1.072,0.006,221.74
189,31.7629790,034.9948420,728.346,13/6/2015 08:27:11,1.078,0.006,223.77
190,31.7629130,034.9947680,728.346,13/6/2015 08:27:12,1.084,0.006,225.34
191,31.7628480,034.9946910,728.346,13/6/2015 08:27:13,1.091,0.006,225.79
192,31.7627840,034.9946140,728.346,13/6/2015 08:27:14,1.097,0.006,226.24
193,31.7627210,034.9945370,728.346,13/6/2015 08:27:15,1.103,0.006,228.14
194,31.7626590,034.9944560,728.346,13/6/2015 08:27:16,1.110,0.006,229.77
195,31.7625990,034.9943730,728.346,13/6/2015 08:27:17,1.116,0.006,231.21
196,31.7625420,034.9942900,728.346,13/6/2015 08:27:18,1.122,0.006,230.03
197,31.7624840,034.9942090,726.509,13/6/2015 08:27:19,1.129,0.006,228.36
198,31.7624240,034.9941300,725.066,13/6/2015 08:27:20,1.135,0.006,228.84
199,31.7623650,034.9940510,725.066,13/6/2015 08:27:21,1.141,0.006,228.84
200,31.7623060,034.9939720,725.066,13/6/2015 08:27:22,1.147,0.006,230.17
201,31.7622490,034.9938920,725.066,13/6/2015 08:27:23,1.153,0.006,230.17
202,31.7621920,034.9938120,725.066,13/6/2015 08:27:24,1.159,0.006,229.82
203,31.7621350,034.9937330,725.066,13/6/2015 08:27:25,1.166,0.006,230.82
204,31.7620800,034.9936540,725.066,13/6/2015 08:27:26,1.172,0.006,229.96
205,31.7620240,034.9935760,725.066,13/6/2015 08:27:27,1.178,0.006,230.82
206,31.7619690,034.9934970,725.066,13/6/2015 08:27:28,1.184,0.006,230.47
207,31.7619140,034.9934190,723.228,13/6/2015 08:27:29,1.189,0.006,231.51
208,31.7618610,034.9933410,721.785,13/6/2015 08:27:30,1.195,0.006,230.10
209,31.7618060,034.9932640,721.785,13/6/2015 08:27:31,1.201,0.006,230.62
210,31.7617520,034.9931870,721.785,13/6/2015 08:27:32,1.207,0.006,230.25
211,31.7616980,034.9931110,721.785,13/6/2015 08:27:33,1.213,0.006,231.31
212,31.7616460,034.9930350,721.785,13/6/2015 08:27:34,1.219,0.006,231.68
213,31.7615940,034.9929580,721.785,13/6/2015 08:27:35,1.224,0.006,234.81
214,31.7615470,034.9928800,721.785,13/6/2015 08:27:36,1.230,0.006,234.81
215,31.7615000,034.9928020,721.785,13/6/2015 08:27:37,1.236,0.006,236.90
216,31.7614560,034.9927230,721.785,13/6/2015 08:27:38,1.241,0.005,239.66
217,31.7614160,034.9926430,719.962,13/6/2015 08:27:39,1.247,0.005,242.80
218,31.7613800,034.9925610,718.504,13/6/2015 08:27:40,1.252,0.005,243.17
219,31.7613450,034.9924800,718.504,13/6/2015 08:27:41,1.257,0.005,241.87
220,31.7613080,034.9923990,718.504,13/6/2015 08:27:42,1.263,0.005,242.16
221,31.7612710,034.9923170,718.504,13/6/2015 08:27:43,1.268,0.006,240.90
222,31.7612320,034.9922350,718.504,13/6/2015 08:27:44,1.274,0.006,240.28
223,31.7611920,034.9921530,718.504,13/6/2015 08:27:45,1.279,0.006,239.06
224,31.7611500,034.9920710,718.504,13/6/2015 08:27:46,1.285,0.006,237.29
225,31.7611050,034.9919890,718.504,13/6/2015 08:27:47,1.291,0.006,236.97
226,31.7610600,034.9919080,718.504,13/6/2015 08:27:48,1.296,0.006,237.87
227,31.7610160,034.9918260,716.667,13/6/2015 08:27:49,1.302,0.006,236.14
228,31.7609690,034.9917440,715.223,13/6/2015 08:27:50,1.308,0.006,233.81
229,31.7609190,034.9916640,715.223,13/6/2015 08:27:51,1.314,0.006,232.57
230,31.7608680,034.9915860,715.223,13/6/2015 08:27:52,1.320,0.006,232.40
231,31.7608180,034.9915100,715.223,13/6/2015 08:27:53,1.325,0.006,232.76
232,31.7607680,034.9914330,715.223,13/6/2015 08:27:54,1.331,0.006,230.94
233,31.7607160,034.9913580,715.223,13/6/2015 08:27:55,1.337,0.006,229.11
234,31.7606620,034.9912850,715.223,13/6/2015 08:27:56,1.342,0.006,225.12
235,31.7606050,034.9912180,715.223,13/6/2015 08:27:57,1.348,0.005,222.86
236,31.7605470,034.9911550,715.223,13/6/2015 08:27:58,1.353,0.005,225.28
237,31.7604920,034.9910900,707.874,13/6/2015 08:27:59,1.359,0.005,223.87
238,31.7604360,034.9910270,702.100,13/6/2015 08:28:00,1.364,0.005,223.51
239,31.7603820,034.9909670,702.100,13/6/2015 08:28:01,1.369,0.005,222.10
240,31.7603300,034.9909120,702.100,13/6/2015 08:28:02,1.374,0.005,222.20
241,31.7602810,034.9908600,702.100,13/6/2015 08:28:03,1.379,0.004,219.93
242,31.7602320,034.9908120,702.100,13/6/2015 08:28:04,1.383,0.004,220.51
243,31.7601830,034.9907630,702.100,13/6/2015 08:28:05,1.387,0.004,221.08
244,31.7601340,034.9907130,702.100,13/6/2015 08:28:06,1.392,0.004,219.94
245,31.7600840,034.9906640,702.100,13/6/2015 08:28:07,1.396,0.005,217.15
246,31.7600310,034.9906170,702.100,13/6/2015 08:28:08,1.401,0.005,208.82
247,31.7599720,034.9905790,702.100,13/6/2015 08:28:09,1.406,0.005,189.70
248,31.7599070,034.9905660,702.100,13/6/2015 08:28:10,1.410,0.005,167.94
249,31.7598390,034.9905830,702.100,13/6/2015 08:28:11,1.415,0.005,148.94
250,31.7597780,034.9906260,702.100,13/6/2015 08:28:12,1.420,0.005,136.97
251,31.7597240,034.9906850,702.100,13/6/2015 08:28:13,1.425,0.005,131.90
252,31.7596780,034.9907450,702.100,13/6/2015 08:28:14,1.430,0.005,129.80
253,31.7596360,034.9908040,702.100,13/6/2015 08:28:15,1.434,0.004,127.96
254,31.7595960,034.9908640,702.100,13/6/2015 08:28:16,1.439,0.004,124.63
255,31.7595600,034.9909250,702.100,13/6/2015 08:28:17,1.443,0.004,121.14
256,31.7595280,034.9909870,702.100,13/6/2015 08:28:18,1.447,0.004,119.09
257,31.7594990,034.9910480,700.262,13/6/2015 08:28:19,1.451,0.004,118.17
258,31.7594720,034.9911070,698.819,13/6/2015 08:28:20,1.455,0.004,117.68
259,31.7594460,034.9911650,698.819,13/6/2015 08:28:21,1.459,0.004,116.38
260,31.7594210,034.9912240,698.819,13/6/2015 08:28:22,1.463,0.004,114.53
261,31.7593980,034.9912830,698.819,13/6/2015 08:28:23,1.467,0.004,113.94
262,31.7593760,034.9913410,698.819,13/6/2015 08:28:24,1.471,0.004,113.33
263,31.7593550,034.9913980,698.819,13/6/2015 08:28:25,1.474,0.004,110.98
264,31.7593360,034.9914560,698.819,13/6/2015 08:28:26,1.478,0.004,109.96
265,31.7593180,034.9915140,698.819,13/6/2015 08:28:27,1.482,0.004,107.61
266,31.7593020,034.9915730,698.819,13/6/2015 08:28:28,1.485,0.004,109.05
267,31.7592840,034.9916340,700.656,13/6/2015 08:28:29,1.489,0.004,110.03
268,31.7592650,034.9916950,702.100,13/6/2015 08:28:30,1.493,0.004,109.05
269,31.7592470,034.9917560,702.100,13/6/2015 08:28:31,1.497,0.004,107.79
270,31.7592300,034.9918180,702.100,13/6/2015 08:28:32,1.500,0.004,108.77
271,31.7592120,034.9918800,702.100,13/6/2015 08:28:33,1.504,0.004,109.44
272,31.7591930,034.9919430,702.100,13/6/2015 08:28:34,1.508,0.004,109.73
273,31.7591740,034.9920050,702.100,13/6/2015 08:28:35,1.512,0.004,109.73
274,31.7591550,034.9920670,702.100,13/6/2015 08:28:36,1.516,0.004,107.53
275,31.7591380,034.9921300,702.100,13/6/2015 08:28:37,1.520,0.004,106.07
276,31.7591220,034.9921950,702.100,13/6/2015 08:28:38,1.524,0.004,105.11
277,31.7591070,034.9922600,703.922,13/6/2015 08:28:39,1.528,0.004,106.07
278,31.7590910,034.9923250,705.381,13/6/2015 08:28:40,1.532,0.004,105.84
279,31.7590750,034.9923910,705.381,13/6/2015 08:28:41,1.536,0.004,105.84
280,31.7590590,034.9924570,705.381,13/6/2015 08:28:42,1.540,0.004,107.45
281,31.7590410,034.9925240,705.381,13/6/2015 08:28:43,1.544,0.004,107.21
282,31.7590230,034.9925920,705.381,13/6/2015 08:28:44,1.548,0.004,105.18
283,31.7590070,034.9926610,705.381,13/6/2015 08:28:45,1.552,0.004,103.89
284,31.7589920,034.9927320,705.381,13/6/2015 08:28:46,1.557,0.004,106.98
285,31.7589740,034.9928010,705.381,13/6/2015 08:28:47,1.561,0.004,106.75
286,31.7589560,034.9928710,705.381,13/6/2015 08:28:48,1.565,0.004,106.75
287,31.7589380,034.9929410,705.381,13/6/2015 08:28:49,1.570,0.004,105.87
288,31.7589210,034.9930110,705.381,13/6/2015 08:28:50,1.574,0.004,107.62
289,31.7589020,034.9930810,705.381,13/6/2015 08:28:51,1.578,0.004,106.75
290,31.7588840,034.9931510,705.381,13/6/2015 08:28:52,1.583,0.004,106.75
291,31.7588660,034.9932210,705.381,13/6/2015 08:28:53,1.587,0.004,107.86
292,31.7588470,034.9932900,705.381,13/6/2015 08:28:54,1.591,0.004,103.89
293,31.7588320,034.9933610,705.381,13/6/2015 08:28:55,1.595,0.004,108.11
294,31.7588130,034.9934290,705.381,13/6/2015 08:28:56,1.600,0.004,107.86
295,31.7587940,034.9934980,705.381,13/6/2015 08:28:57,1.604,0.004,109.87
296,31.7587730,034.9935660,705.381,13/6/2015 08:28:58,1.608,0.004,110.74
297,31.7587510,034.9936340,705.381,13/6/2015 08:28:59,1.612,0.004,112.19
298,31.7587280,034.9937000,707.218,13/6/2015 08:29:00,1.617,0.004,113.05
299,31.7587040,034.9937660,708.661,13/6/2015 08:29:01,1.621,0.004,112.81
300,31.7586810,034.9938300,708.661,13/6/2015 08:29:02,1.625,0.004,114.57
301,31.7586560,034.9938940,708.661,13/6/2015 08:29:03,1.629,0.004,114.91
302,31.7586310,034.9939570,708.661,13/6/2015 08:29:04,1.633,0.004,118.25
303,31.7586030,034.9940180,708.661,13/6/2015 08:29:05,1.637,0.004,120.34
304,31.7585730,034.9940780,708.661,13/6/2015 08:29:06,1.641,0.004,122.77
305,31.7585400,034.9941380,708.661,13/6/2015 08:29:07,1.646,0.004,120.34
306,31.7585110,034.9941960,708.661,13/6/2015 08:29:08,1.649,0.004,126.19
307,31.7584760,034.9942520,708.661,13/6/2015 08:29:09,1.654,0.004,125.89
308,31.7584420,034.9943070,710.499,13/6/2015 08:29:10,1.658,0.004,126.96
309,31.7584060,034.9943630,711.942,13/6/2015 08:29:11,1.662,0.004,128.73
310,31.7583690,034.9944170,711.942,13/6/2015 08:29:12,1.666,0.004,128.73
311,31.7583320,034.9944710,711.942,13/6/2015 08:29:13,1.670,0.004,132.00
312,31.7582920,034.9945230,711.942,13/6/2015 08:29:14,1.674,0.004,132.00
313,31.7582520,034.9945750,711.942,13/6/2015 08:29:15,1.678,0.004,134.99
314,31.7582110,034.9946230,711.942,13/6/2015 08:29:16,1.682,0.004,133.69
315,31.7581710,034.9946720,711.942,13/6/2015 08:29:17,1.686,0.004,135.09
316,31.7581290,034.9947210,711.942,13/6/2015 08:29:18,1.690,0.004,136.90
317,31.7580870,034.9947670,711.942,13/6/2015 08:29:19,1.694,0.004,138.23
318,31.7580430,034.9948130,711.942,13/6/2015 08:29:20,1.698,0.004,139.49
319,31.7579990,034.9948570,711.942,13/6/2015 08:29:21,1.702,0.004,140.12
320,31.7579540,034.9949010,711.942,13/6/2015 08:29:22,1.706,0.004,140.77
321,31.7579090,034.9949440,711.942,13/6/2015 08:29:23,1.710,0.004,140.77
322,31.7578640,034.9949870,711.942,13/6/2015 08:29:24,1.714,0.004,142.64
323,31.7578170,034.9950290,711.942,13/6/2015 08:29:25,1.718,0.004,143.98
